实验,描述,mAP@0.5,mAP@0.5:0.95,精确率,召回率,F1分数,推理速度(ms/img)
baseline,原始YOLOv8s,0.40200622974841504,0.23701177919437233,0.517039020538846,0.39518843909841195,0.44797564756704017,0
ema,YOLOv8s + EMA注意力,0.40200622974841504,0.23701177919437233,0.517039020538846,0.39518843909841195,0.44797564756704017,0
bifpn,YOLOv8s + BiFPN,0.40200622974841504,0.23701177919437233,0.517039020538846,0.39518843909841195,0.44797564756704017,0
full,YOLOv8s + EMA + BiFPN,0.40200622974841504,0.23701177919437233,0.517039020538846,0.39518843909841195,0.44797564756704017,0
